Speaker,Phr_tagged,Phr,Int,Double,Adj,Lex_Adj,Adj_type,Noun,Verb,Inf_Verb,Number,Syllable,Age,Gender,Transcript_date,Birth_year,Edu,Generation,Job
CART19,dentro_ADV_dentro de_ADP_de las_DET_el posibilidades_NOUN_posibilidad económicas_ADJ_económico que_PRON_que de_ADP_de pronto_NOUN_pronto,dentro de las posibilidades económicas que de pronto,/,/,económicas,económico,attributive,posibilidades,/,/,CART19_128,5,34,hombre,2010,1976,medio,2,Topógrafo
CART19,peligroso_ADJ_peligroso,peligroso,/,/,peligroso,peligroso,ambiguous,/,/,/,CART19_129,4,34,hombre,2010,1976,medio,2,Topógrafo
CART19,uno_PRON_uno borracho_ADJ_borracho que_PRON_que _PUNCT_,uno borracho que ,/,/,borracho,borracho,ambiguous,/,/,/,CART19_130,3,34,hombre,2010,1976,medio,2,Topógrafo
CART19,mejor_ADV_mejor dicho_ADJ_dicho _PUNCT_,mejor dicho ,/,/,dicho,dicho,ambiguous,/,/,/,CART19_131,2,34,hombre,2010,1976,medio,2,Topógrafo
CART19,y_CCONJ_y si_SCONJ_si es_AUX_ser de_ADP_de los_DET_el borrachos_NOUN_borracho esos_DET_ese que_PRON_que cuando_SCONJ_cuando está_AUX_estar bien_ADV_bien borracho_ADJ_borracho se_PRON_él pierde_VERB_perder las_DET_el piernas_NOUN_pierna _PUNCT_,y si es de los borrachos esos que cuando está bien borracho se pierde las piernas ,bien,/,borracho,borracho,predicative,/,es,ser,CART19_132,3,34,hombre,2010,1976,medio,2,Topógrafo
CART19,peor_ADJ_peor todavía_ADV_todavía ._PUNCT_.,peor todavía .,/,/,peor,peor,ambiguous,/,/,/,CART19_133,1,34,hombre,2010,1976,medio,2,Topógrafo
CART19,ya_ADV_ya cuando_SCONJ_cuando estoy_VERB_estar con_ADP_con los_DET_el compañeros_NOUN_compañero se_PRON_él toma_VERB_tomar en_ADP_en una_DET_uno forma_NOUN_forma moderada_ADJ_moderado _PUNCT_,ya cuando estoy con los compañeros se toma en una forma moderada ,/,/,moderada,moderado,attributive,forma,toma,tomar,CART19_134,4,34,hombre,2010,1976,medio,2,Topógrafo
CART19,uno_PRON_uno para_ADP_para sentirse_VERB_sentir él contento_ADJ_contento pero_CCONJ_pero y_CCONJ_y más_ADV_más nada_PRON_nada ._PUNCT_.,uno para sentirse él contento pero y más nada .,/,/,contento,contento,ambiguous,/,sentirse,sentir,CART19_135,3,34,hombre,2010,1976,medio,2,Topógrafo
CART19,yo_PRON_yo creo_VERB_creer que_SCONJ_que mejor_ADV_mejor dicho_ADJ_dicho _PUNCT_,yo creo que mejor dicho ,/,/,dicho,dicho,ambiguous,/,creo,creer,CART19_136,2,34,hombre,2010,1976,medio,2,Topógrafo
CART19,hasta_ADP_hasta que_SCONJ_que bueno_ADJ_bueno _PUNCT_,hasta que bueno ,/,/,bueno,bueno,ambiguous,/,/,/,CART19_137,2,34,hombre,2010,1976,medio,2,Topógrafo
CART19,es_AUX_ser sencilla_ADJ_sencillo ._PUNCT_.,es sencilla .,/,/,sencilla,sencillo,predicative,/,es,ser,CART19_138,3,34,hombre,2010,1976,medio,2,Topógrafo
CART19,porque_SCONJ_porque es_AUX_ser trabajadora_ADJ_trabajador ._PUNCT_.,porque es trabajadora .,/,/,trabajadora,trabajador,predicative,/,es,ser,CART19_139,5,34,hombre,2010,1976,medio,2,Topógrafo
CART19,No_ADV_no solamente_ADV_solamente lo_PRON_él físico_ADJ_físico _PUNCT_,No solamente lo físico ,/,/,físico,físico,ambiguous,/,/,/,CART19_140,3,34,hombre,2010,1976,medio,2,Topógrafo
CART19,porque_SCONJ_porque ella_PRON_él es_AUX_ser simpática_ADJ_simpático _PUNCT_,porque ella es simpática ,/,/,simpática,simpático,predicative,/,es,ser,CART19_141,4,34,hombre,2010,1976,medio,2,Topógrafo
CART19,ella_PRON_él es_AUX_ser bonita_ADJ_bonito _PUNCT_,ella es bonita ,/,/,bonita,bonito,predicative,/,es,ser,CART19_142,3,34,hombre,2010,1976,medio,2,Topógrafo
CART19,para_ADP_para mí_PRON_yo es_AUX_ser bonita_ADJ_bonito _PUNCT_,para mí es bonita ,/,/,bonita,bonito,predicative,/,es,ser,CART19_143,3,34,hombre,2010,1976,medio,2,Topógrafo
CART19,a_ADP_a lo_PRON_él físico_ADJ_físico ._PUNCT_.,a lo físico .,/,/,físico,físico,ambiguous,/,/,/,CART19_144,3,34,hombre,2010,1976,medio,2,Topógrafo
CART19,bonita_ADJ_bonito _PUNCT_,bonita ,/,/,bonita,bonito,ambiguous,/,/,/,CART19_145,3,34,hombre,2010,1976,medio,2,Topógrafo
CART19,preparadas_ADJ_preparado _PUNCT_,preparadas ,/,/,preparadas,preparado,ambiguous,/,/,/,CART19_146,4,34,hombre,2010,1976,medio,2,Topógrafo
CART19,Muy_ADV_mucho preparadas_ADJ_preparado _PUNCT_,Muy preparadas ,/,/,preparadas,preparado,ambiguous,/,/,/,CART19_147,4,34,hombre,2010,1976,medio,2,Topógrafo
CART19,esa_DET_ese bueno_ADJ_bueno me_PRON_yo alegra_VERB_alegrar que_SCONJ_que haya_AUX_haber _PUNCT_,esa bueno me alegra que haya ,/,/,bueno,bueno,predicative,/,alegra,alegrar,CART19_148,2,34,hombre,2010,1976,medio,2,Topógrafo
CART19,pero_CCONJ_pero ahora_ADV_ahora mismo_ADJ_mismo no_ADV_no me_PRON_yo acuerdo_VERB_acuerdo como_SCONJ_como _PUNCT_,pero ahora mismo no me acuerdo como ,/,/,mismo,mismo,ambiguous,/,acuerdo,acuerdo,CART19_149,2,34,hombre,2010,1976,medio,2,Topógrafo
CART19,Pero_CCONJ_pero la_DET_el virreina_NOUN_virreina también_ADV_también estaba_AUX_estar bien_ADV_bien preparada_ADJ_preparado ._PUNCT_.,Pero la virreina también estaba bien preparada .,bien,/,preparada,preparado,predicative,/,estaba,estar,CART19_150,4,34,hombre,2010,1976,medio,2,Topógrafo
CART19,La_DET_el mujer_NOUN_mujer cartagenera_ADJ_cartagenero _PUNCT_,La mujer cartagenera ,/,/,cartagenera,cartagenero,attributive,mujer,/,/,CART19_151,5,34,hombre,2010,1976,medio,2,Topógrafo
CART19,tiene_VERB_tener un_DET_uno cuerpo_NOUN_cuerpo bonito_ADJ_bonito _PUNCT_,tiene un cuerpo bonito ,/,/,bonito,bonito,attributive,cuerpo,tiene,tener,CART19_152,3,34,hombre,2010,1976,medio,2,Topógrafo
CART19,resalta_VERB_resaltar en_ADP_en la_DET_el mujer_NOUN_mujer cartagenera_ADJ_cartagenero _PUNCT_,resalta en la mujer cartagenera ,/,/,cartagenera,cartagenero,attributive,mujer,resalta,resaltar,CART19_153,5,34,hombre,2010,1976,medio,2,Topógrafo
CART19,porque_SCONJ_porque la_DET_el mujer_NOUN_mujer morena_ADJ_morén tiene_VERB_tener unos_DET_uno cuerpos_NOUN_cuerpo bonitos_ADJ_bonito _PUNCT_,porque la mujer morena tiene unos cuerpos bonitos ,/,/,morena,morén,attributive,mujer,tiene,tener,CART19_154,3,34,hombre,2010,1976,medio,2,Topógrafo
CART19,porque_SCONJ_porque la_DET_el mujer_NOUN_mujer morena_ADJ_morén tiene_VERB_tener unos_DET_uno cuerpos_NOUN_cuerpo bonitos_ADJ_bonito _PUNCT_,porque la mujer morena tiene unos cuerpos bonitos ,/,/,bonitos,bonito,attributive,cuerpos,tiene,tener,CART19_155,3,34,hombre,2010,1976,medio,2,Topógrafo
CART19,unos_DET_uno cuerpo_NOUN_cuerpo bonito_ADJ_bonito y_CCONJ_y tienen_VERB_tener una_DET_uno cola_NOUN_cola _PUNCT_,unos cuerpo bonito y tienen una cola ,/,/,bonito,bonito,attributive,cuerpo,tienen,tener,CART19_156,3,34,hombre,2010,1976,medio,2,Topógrafo
CART19,cara_NOUN_cara bonita_ADJ_bonito y_CCONJ_y todo_PRON_todo _PUNCT_,cara bonita y todo ,/,/,bonita,bonito,attributive,cara,/,/,CART19_157,3,34,hombre,2010,1976,medio,2,Topógrafo
CART19,tienen_VERB_tener su_DET_su cola_NOUN_cola y_CCONJ_y tienen_VERB_tener el_DET_el cuerpo_NOUN_cuerpo bonito_ADJ_bonito ._PUNCT_.,tienen su cola y tienen el cuerpo bonito .,/,/,bonito,bonito,attributive,cuerpo,tienen,tener,CART19_158,3,34,hombre,2010,1976,medio,2,Topógrafo
CART19,bueno_ADJ_bueno algunos_DET_alguno hombres_NOUN_hombre se_PRON_él quejan_VERB_quejar y_CCONJ_y que_SCONJ_que por_ADP_por la_DET_el cuestión_NOUN_cuestión de_ADP_de que_SCONJ_que la_DET_el _PUNCT_,bueno algunos hombres se quejan y que por la cuestión de que la ,/,/,bueno,bueno,ambiguous,/,quejan,quejar,CART19_159,2,34,hombre,2010,1976,medio,2,Topógrafo
